处方分级,1(最低运动量),2(基础运动量),3(中等运动量),4(较大运动量),5(最大运动量)
热身运动,"6~9个动作,4个8拍","6~9个动作,4个8拍","6~9个动作,4个8拍","6~9个动作,4个8拍","6~9个动作,4个8拍"
有氧运动,,,,,
强度,30%~40%HRR,35%~45%HRR,45%~60%HRR,55%~65%HRR,60%~70%HRR
时间,20~30 min,25~35 min,30~40 min,35~45 min,40~50 min
频率,3~6次/周,3~6次/周,3~6次/周,3~6次/周,3~6次/周
抗阻运动,,,,,
动作难度,1,1~2,2~3,2~3,3
动作个数,下肢任选4~6个,上肢、核心、下肢任选6~8个,下肢、核心任选4~6个,上肢、核心、下肢任选4~6个,上肢、核心、下肢任选6~8个
时间,10~15个或20~30秒,10~15个或20~30秒,15~20个或30~40秒,15~20个或30~40秒,20~30个或40~60秒
间歇时间,30秒,30秒,30秒,30秒,20秒
组数,2组,2组,2组,3组,3组
组间歇时间,2~3分钟,2~3分钟,1~2分钟,1~2分钟,1~2分钟
频率,"2~3次/周,逐渐增加至4次/周","2~3次/周,逐渐增加至4次/周","2~3次/周,逐渐增加至4次/周","2~3次/周,逐渐增加至4次/周","2~3次/周,逐渐增加至4次/周"
柔韧性运动,"2~3个动作,每个动作20~30秒,2~4组","2~3个动作,每个动作20~30秒,2~4组","2~3个动作,每个动作20~30秒,2~4组","2~3个动作,每个动作20~30秒,2~4组","2~3个动作,每个动作20~30秒,2~4组"
